access_right,communities,conference_acronym,conference_dates,conference_place,conference_title,conference_url,contributors,creators,description,doi,keywords,license,notes,prereserve_doi,publication_date,related_identifiers,publication_type,references,title,upload_type,conceptdoi,files,format,xml_id
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'Siberian Federal University & Moscow State Unversity, Russian Federation', 'name': 'Volodin, Andrey'}, {'affiliation': 'Siberian Federal University, Russian Federation', 'name': 'Senotrusova, Polina'}, {'affiliation': 'Siberian Federal University, Russian Federation', 'name': 'Antamoshkin, Oleslav'}, {'affiliation': 'Siberian Federal University, Russian Federation & Haifa University, Israel', 'name': 'Kizhner, Inna'}, {'affiliation': 'Siberian Federal University, Russian Federation', 'name': 'Rumyantzev, Maksim'}, {'affiliation': 'Siberian Federal University, Russian Federation', 'name': 'Pikov, Nikita'}, {'affiliation': 'Siberian Federal University, Russian Federation', 'name': 'Gruzdev, Andrey'}]","In 2023, Digital Humanities Research Institute at Siberian Federal University starts a working prototype of a research digital infrastructure for the aggregation, preservation, dissemination of Siberian historical and cultural heritage for historical, literary, ethnographic, art history and other kinds of research at the intersection of the humanities and computer sciences — Siberiana.online. The aim of the project is to launch a long-term initiative for digitization, analysis, and curation of the different collections of historical, cultural, and natural heritage of the Central Siberia (so-called Angara-Yenisei macro-region). The project is designed for research and education needs of the digital humanists at Siberian Federal University and world over, because Siberian artifacts and collections evoke a steady interest in the current literature.",10.5281/zenodo.8228447,"['Paper', 'Poster', 'cultural heritage', 'digitalization', 'data curation', 'cultural data presentation', 'digital positioning of the region', 'database creation', 'management', 'and analysis', 'digitization (2D & 3D)', 'linked (open) data', 'metadata standards', 'systems', 'and methods', 'Anthropology', 'Archaeology', 'Cultural studies', 'History']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228447', 'recid': 8228447}",2023-06-30,"[{'identifier': '10.5281/zenodo.8108063', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Sibiriana: designing a platform for aggregation of the historical and cultural heritage of the Angara-Yenisei macroregion,poster,10.5281/zenodo.8228446,['Volodin_Siberiana.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'Institute for Balkan Studies, Serbian Academy of Sciences and Arts, Serbia', 'name': 'Nikolić, Dragana'}]","The Institute for Balkan Studies of the Serbian Academy of Sciences and Arts runs a project of digitisation of Roman Inscriptions from the territory of Serbia, that will be encoded in EpiDoc TEI-XML and published in an open, digital archive of Latin and Greek inscriptions.",10.5281/zenodo.8228449,"['Paper', 'Poster', 'EpiDoc', 'Roman inscriptions', 'epigraphy', 'text encoding and markup language creation', 'deployment', 'and analysis', 'Archaeology', 'History']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228449', 'recid': 8228449}",2023-06-30,"[{'identifier': '10.5281/zenodo.8107756', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Digital Edition of Roman Inscriptions from Serbia: A Work in Progress,poster,10.5281/zenodo.8228448,['Nikoli__Digital-Edition-of-Roman-Inscriptions.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'University of Graz, Austria', 'name': 'Galka, Selina', 'orcid': '0000-0003-4476-315X'}, {'affiliation': 'University of Graz, Austria', 'name': 'Sagadin, Suzana'}, {'affiliation': 'University of Graz, Austria', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236'}]","The Visual Archive Southeastern Europe (VASE), established in 2012, collects historical and contemporary visual material from Southeastern Europe and currently comprises four collections. The article presents the comprehensive redesign of VASE, which affects both the interface and the underlying data model.",10.5281/zenodo.8228451,"['Paper', 'Poster', 'Southeastern Europe', 'visual material', 'archive', 'interface', 'data model', 'cultural analytics', 'data modeling', 'digital archiving', 'Interface design', 'development', 'and analysis', 'Cultural studies', 'Central/Eastern European Studies']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228451', 'recid': 8228451}",2023-06-30,"[{'identifier': '10.5281/zenodo.8107811', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,(Re)Visual(izing) Archive Southeastern Europe: A data model and interface redesign,poster,10.5281/zenodo.8228450,['Scholger_VASE.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'Institut Catholique de Paris, France', 'name': 'Tessier, Laurent', 'orcid': '0000-0003-1523-8276'}, {'affiliation': 'Institut Catholique de Paris, France', 'name': 'Bourgatte, Michael', 'orcid': '0000-0002-5244-1604'}]","Inaugurated in 2022, the CANEVAS consortium brings together researchers from various humanities disciplines whose common interest is to handle video corpora in their research. This poster present specific issues raised by these corpora as well as a selection of tools and methods identified by the Canevas research community.",10.5281/zenodo.8228453,"['Paper', 'Poster', 'video', 'audiovisual', 'hosting', 'archives', 'annotation', 'annotation structures', 'systems', 'and methods', 'digital archiving', 'mixed-media analysis', 'open access methods', 'Design studies', 'Education/ pedagogy', 'Media studies', 'Performance Studies: Dance', 'Theatre']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228453', 'recid': 8228453}",2023-06-30,"[{'identifier': '10.5281/zenodo.8108071', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Leading collaborative research on video corpora. CANEVAS tools and methods.,poster,10.5281/zenodo.8228452,['Tessier_Leading-Collaborative-Research-on-Video-Corpora.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'City, University of London, United Kingdom', 'name': 'Priego, Ernesto', 'orcid': '0000-0003-4418-369X'}, {'affiliation': 'City, University of London, United Kingdom', 'name': 'Berube, Linda', 'orcid': '0000-0002-1046-8569'}, {'affiliation': 'Symbola Comics, United Kingdom', 'name': 'de la Mora, Francisco', 'orcid': '0000-0003-4539-7278'}, {'affiliation': 'British Library, United Kingdom', 'name': 'Cooke, Ian', 'orcid': '0000-0002-7000-2306'}, {'affiliation': 'City, University of London, United Kingdom', 'name': 'Makri, Stephann', 'orcid': '0000-0002-5817-4893'}, {'affiliation': 'British Library, United Kingdom', 'name': 'Wisdom, Stella', 'orcid': '0000-0003-2452-1196'}]","This poster presents, in comics form, the perspectives of those involved in the Collaborative Doctoral Partnership 'Understanding UK digital comics information and publishing practices: From creation to consumption'. The poster aims to share insights into the challenges and opportunities of inter-institutional research and its collaborative methods.",10.5281/zenodo.8228455,"['Paper', 'Poster', 'comics', 'user-centred research', 'collaborative projects', 'digital reading', 'libraries', 'digital publishing projects', 'systems', 'and methods', 'electronic literature production and analysis', 'Interface design', 'development', 'and analysis', 'user experience design and analysis', 'Book and print history', 'Cultural studies', 'Design studies', 'Library & information science']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228455', 'recid': 8228455}",2023-06-30,"[{'identifier': '10.5281/zenodo.8107547', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,UK Digital Comics: Challenges and Opportunities of a Collaborative Doctoral Partnership. A Co-designed Comic Poster,poster,10.5281/zenodo.8228454,['Priego_UK-Digital-Comics.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'NIOD Institute for War, Holocaust, and Genocide Studies, Amsterdam', 'name': 'van Lange, Milan Mikolaj', 'orcid': '0000-0002-4609-5186'}, {'affiliation': 'NIOD Institute for War, Holocaust, and Genocide Studies, Amsterdam', 'name': 'van Nispen, Annelies', 'orcid': '0000-0003-4341-7634'}, {'affiliation': 'NIOD Institute for War, Holocaust, and Genocide Studies, Amsterdam', 'name': 'Keijzer, Carlijn'}]","This poster presents 'First-Hand Accounts of War: War letters (1935-1950) from NIOD digitized' and reflects on how an interdisciplinary team at the intersection of archival science, history, and digital humanities collaborated in transforming 'paper archives' into enriched digital datasets of historical war correspondence.",10.5281/zenodo.8228457,"['Paper', 'Poster', 'digitisation', 'datafication', 'world war II', 'war letters', 'metadata', 'crowdsourcing', 'database creation', 'management', 'and analysis', 'metadata standards', 'systems', 'and methods', 'project design', 'organization', 'management', 'History', 'Library & information science']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228457', 'recid': 8228457}",2023-06-30,"[{'identifier': '10.5281/zenodo.8107378', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,"Digitization as an opportunity for collaboration: digitizing personal correspondence from World War II at the intersection of history, archival science, and the digital humanities",poster,10.5281/zenodo.8228456,['Van_Lange_First-Hand-Accounts-of-War.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'Universität Graz, Austria', 'name': 'Kovács, Tamás', 'orcid': '0000-0002-3913-2946'}, {'affiliation': 'Universität Graz, Austria', 'name': 'Aoun, Sandy'}, {'affiliation': 'Universität Graz, Austria', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712'}, {'affiliation': 'Universität Graz, Austria', 'name': 'Nicolaou, Anguelos', 'orcid': '0000-0003-3818-8718'}, {'affiliation': 'Universität Graz, Austria', 'name': 'Luger, Daniel', 'orcid': '0000-0003-1778-4908'}, {'affiliation': 'Universität Graz, Austria', 'name': 'Atzenhofer-Baumgartner, Florian', 'orcid': '0000-0001-8157-8629'}, {'affiliation': 'Universität Graz, Austria', 'name': 'Lamminger, Florian', 'orcid': '0000-0002-1310-6352'}, {'affiliation': 'Universität Graz, Austria', 'name': 'Decker, Franziska', 'orcid': '0000-0001-7994-1388'}]","Our strategy to support filtering the descriptive texts and the transcriptions in Monasterium.net seeks to assign semantic categories for the legal acts they record, such as confiscation, donation, or property sale.",10.5281/zenodo.8228459,"['Paper', 'Poster', 'medieval history', 'charter', 'classification', 'few-shot classification', 'natural language processing', 'Computer science', 'History', 'Linguistics']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228459', 'recid': 8228459}",2023-06-30,"[{'identifier': '10.5281/zenodo.8108027', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Few Shot Classification for Labeling of Medieval and Early Modern Charter Texts,poster,10.5281/zenodo.8228458,['Kov_cs_Few-Shot-Classification-for-Labeling-of-Medieval-and-Early-Modern-Charter-Texts.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'University College Dublin', 'name': 'Osti, Giulia', 'orcid': '0000-0003-3179-6980'}, {'affiliation': 'University College Dublin', 'name': 'Cushing, Amber', 'orcid': '0000-0003-0186-0689'}, {'affiliation': 'Dublin City University', 'name': 'Little, Suzanne', 'orcid': '0000-0003-3281-3471'}]","This poster presents the preliminary results from the first author's PhD research project, consisting of the early steps towards customising Computer Vision (CV) to work with features characterising historical photographs from Ireland.",10.5281/zenodo.8228461,"['Paper', 'Poster', 'Computer vision', 'artificial intelligence', 'historical photographs', 'GLAMs', 'socio-technical systems studies', 'artificial intelligence and machine learning', 'image processing and analysis', 'public humanities collaborations and methods', 'Communication studies', 'Computer science', 'History', 'Humanities computing']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228461', 'recid': 8228461}",2023-06-30,"[{'identifier': '10.5281/zenodo.8107585', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,More than Meets the (Artificial) Eye: Exploring Historical Photographs from Ireland with Computer Vision Methods,poster,10.5281/zenodo.8228460,['Osti_More-than-meets-the-eye.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'U of Innsbruck, Austria', 'name': 'Howanitz, Gernot'}, {'affiliation': 'U of Innsbruck, Austria', 'name': 'Kaltseis, Magdalena'}]","In the last ten years, massive protests against the government and/or unfair elections took place in all three Eastern Slavic countries—Russia (2011/12), Ukraine (2014), and Belarus (2020). In 2022, protesters demonstrated against Russia's invasion of Ukraine. All these protests were mainly organized via social networks, were disseminated in independent media and countered by the official state-owned media. Thus, visual (self-)representations of the protest cultures must be recognized as an integral part of the protests proper. Our project unites close and distant viewing to assess how kaleidoscopic patterns of protest emerge from the constant recombination of specific visual symbols such as banners, flags, slogans, or people marching in the streets. Not only are we interested in a general description of visual and textual (self-)representations of protest in Eastern Europe but we also analyze the patterns of specific protest cultures to describe their symbolic repertoire. In order to achieve this, we build a corpus of visual and textual (self-)representations of protest. We then use deep learning to identify specific symbols in the corpus. These results are utilized to (1) visualize and analyze the differences between official and user-generated content, traditional and new media, and individual countries, and (2) to select specific images and video clips for a qualitative multimodal discourse analysis.",10.5281/zenodo.8228463,"['Paper', 'Poster', 'Visual Media', 'Protest Cultures', 'Eastern Europe', 'Distant Viewing', 'Multimodal Discourse Analysis', 'artificial intelligence and machine learning', 'mixed-media analysis', 'semantic analysis', 'social media analysis and methods', 'Cultural studies', 'Media studies', 'Central/Eastern European Studies']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228463', 'recid': 8228463}",2023-06-30,"[{'identifier': '10.5281/zenodo.8107385', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,Kaleidoscopic Patterns of Protest: Qualifying and Quantifying Visual and Textual (Self-)Representations in Eastern European Protest Cultures,poster,10.5281/zenodo.8228462,['Howanitz_Kaleidoscopic-Patterns-of-Protest.pdf'],,
open,"[{'identifier': 'dh2023graz'}, {'identifier': 'zenodo'}]",DH2023,10-14 July 2023,"Graz, Austria",Digital Humanities 2023. Collaboration as Opportunity,https://dh2023.adho.org/,"[{'affiliation': 'University of Graz', 'name': 'Scholger, Walter', 'orcid': '0000-0002-9256-0958', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Vogeler, Georg', 'orcid': '0000-0002-1726-1712', 'type': 'Editor'}, {'affiliation': 'Belgrade Center for Digital Humanities', 'name': 'Tasovac, Toma', 'orcid': '0000-0002-3919-993X', 'type': 'Editor'}, {'affiliation': 'Le Mans Université', 'name': 'Baillot, Anne', 'orcid': '0000-0002-4593-059X', 'type': 'Editor'}, {'affiliation': 'University of Graz', 'name': 'Raunig, Elisabeth', 'orcid': '0009-0007-9019-8215', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Scholger, Martina', 'orcid': '0000-0003-1438-3236', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Steiner, Elisabeth', 'orcid': '0000-0001-9116-0402', 'type': 'DataManager'}, {'affiliation': 'University of Graz', 'name': 'Centre for Information Modelling', 'type': 'HostingInstitution'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}]","[{'affiliation': 'University of Haifa, Israel', 'name': 'Filimonov, Evgenia'}, {'affiliation': 'University of Haifa, Israel', 'name': 'Kizhner, Inna'}, {'affiliation': 'University of Haifa, Israel', 'name': 'Ben-Dor Evian, Shirly'}, {'affiliation': 'University of Haifa, Israel', 'name': 'Bar-Oz, Guy'}]",This paper aims to visualize connections between Egypt and Southern Levant during the Bronze and Iron Ages. We compare Egyptian representations of animals and zooarchaeological records from documented excavation reports related to locations of zoological species in the Southern Levant. The comparison is possible through the use of GIS and network analysis to connect the iconographic and zooarchaeological data.,10.5281/zenodo.8228465,"['Paper', 'Poster', 'Egypt', 'Levant', 'zooarchaeological data', 'data uncertainty', 'bibliographic analysis', 'database creation', 'management', 'and analysis', 'network analysis and graphs theory and application', 'Archaeology', 'Art history']",CC-BY-4.0,,"{'doi': '10.5281/zenodo.8228465', 'recid': 8228465}",2023-06-30,"[{'identifier': '10.5281/zenodo.8107686', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}]",,,"Visualizing connections between Egypt and Southern Levant, using mapping and network analysis.",poster,10.5281/zenodo.8228464,['Filimonov_Visualizing-connections-between-Egypt-and-Levant.pdf'],,
